year,obs.hours,species,spcode,count,habitat types,diet index,mass kg,northern latitude,generation time,popest,diet spec,human tolerance,migration,habitat spec,DDT susc,forest dependence,mass g
1950,625,NOHA,9,213,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1950,625,OSPR,10,309,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1950,625,PEFA,11,33,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1950,625,RLHA,12,2,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1950,625,RSHA,13,346,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1950,625,RTHA,14,2667,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1950,625,SSHA,15,3674,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1951,561,AMKE,1,247,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1951,561,BAEA,2,87,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1951,561,BWHA,4,10997,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1951,561,COHA,5,235,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1951,561,GOEA,6,55,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1951,561,MERL,7,15,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1951,561,NOGO,8,21,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1951,561,NOHA,9,214,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1951,561,OSPR,10,253,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1951,561,PEFA,11,22,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1951,561,RLHA,12,0,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1951,561,RSHA,13,379,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1951,561,RTHA,14,2307,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1951,561,SSHA,15,3008,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1952,636,AMKE,1,219,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1952,636,BAEA,2,91,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1952,636,BWHA,4,12603,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1952,636,COHA,5,308,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1952,636,GOEA,6,81,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1952,636,MERL,7,47,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1952,636,NOGO,8,7,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1952,636,NOHA,9,312,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1952,636,OSPR,10,337,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1952,636,PEFA,11,34,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1952,636,RLHA,12,9,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1952,636,RSHA,13,348,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1952,636,RTHA,14,2754,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1952,636,SSHA,15,3566,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1953,651,AMKE,1,220,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1953,651,BAEA,2,59,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1953,651,BWHA,4,7247,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1953,651,COHA,5,155,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1953,651,GOEA,6,30,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1953,651,MERL,7,11,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1953,651,NOGO,8,3,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1953,651,NOHA,9,252,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1953,651,OSPR,10,328,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1953,651,PEFA,11,13,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1953,651,RLHA,12,2,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1953,651,RSHA,13,179,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1953,651,RTHA,14,2051,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1953,651,SSHA,15,2791,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1954,630,AMKE,1,174,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1954,630,BAEA,2,65,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1954,630,BWHA,4,5956,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1954,630,COHA,5,190,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1954,630,GOEA,6,40,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1954,630,MERL,7,22,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1954,630,NOGO,8,90,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1954,630,NOHA,9,158,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1954,630,OSPR,10,320,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1954,630,PEFA,11,28,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1954,630,RLHA,12,3,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1954,630,RSHA,13,311,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1954,630,RTHA,14,2070,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1954,630,SSHA,15,3183,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1955,630,AMKE,1,264,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1955,630,BAEA,2,88,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1955,630,BWHA,4,9542,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1955,630,COHA,5,281,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1955,630,GOEA,6,57,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1955,630,MERL,7,23,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1955,630,NOGO,8,40,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1955,630,NOHA,9,224,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1955,630,OSPR,10,354,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1955,630,PEFA,11,35,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1955,630,RLHA,12,0,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1955,630,RSHA,13,425,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1955,630,RTHA,14,3764,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1955,630,SSHA,15,4709,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1956,586,AMKE,1,204,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1956,586,BAEA,2,53,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1956,586,BWHA,4,8734,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1956,586,COHA,5,122,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1956,586,GOEA,6,42,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1956,586,MERL,7,10,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1956,586,NOGO,8,7,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1956,586,NOHA,9,136,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1956,586,OSPR,10,284,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1956,586,PEFA,11,16,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1956,586,RLHA,12,10,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1956,586,RSHA,13,284,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1956,586,RTHA,14,1525,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1956,586,SSHA,15,2048,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1957,601,AMKE,1,174,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1957,601,BAEA,2,39,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1957,601,BWHA,4,8935,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1957,601,COHA,5,200,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1957,601,GOEA,6,37,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1957,601,MERL,7,21,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1957,601,NOGO,8,82,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1957,601,NOHA,9,192,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1957,601,OSPR,10,323,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1957,601,PEFA,11,15,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1957,601,RLHA,12,7,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1957,601,RSHA,13,220,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1957,601,RTHA,14,2730,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1957,601,SSHA,15,2662,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1958,654,AMKE,1,217,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1958,654,BAEA,2,41,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1958,654,BWHA,4,8880,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1958,654,COHA,5,180,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1958,654,GOEA,6,39,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1958,654,MERL,7,19,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1958,654,NOGO,8,18,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1958,654,NOHA,9,201,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1958,654,OSPR,10,324,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1958,654,PEFA,11,23,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1958,654,RLHA,12,1,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1958,654,RSHA,13,468,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1958,654,RTHA,14,2951,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1958,654,SSHA,15,1752,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1959,623,AMKE,1,281,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1959,623,BAEA,2,45,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1959,623,BWHA,4,5301,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1959,623,COHA,5,180,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1959,623,GOEA,6,31,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1959,623,MERL,7,17,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1959,623,NOGO,8,25,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1959,623,NOHA,9,252,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1959,623,OSPR,10,312,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1959,623,PEFA,11,35,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1959,623,RLHA,12,10,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1959,623,RSHA,13,341,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1959,623,RTHA,14,1904,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1959,623,SSHA,15,2825,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1960,635,AMKE,1,221,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1960,635,BAEA,2,23,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1960,635,BWHA,4,11107,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1960,635,COHA,5,123,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1960,635,GOEA,6,23,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1960,635,MERL,7,25,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1960,635,NOGO,8,11,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1960,635,NOHA,9,229,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1960,635,OSPR,10,263,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1960,635,PEFA,11,18,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1960,635,RLHA,12,25,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1960,635,RSHA,13,331,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1960,635,RTHA,14,2200,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1960,635,SSHA,15,2233,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1961,673,AMKE,1,464,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1961,673,BAEA,2,40,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1961,673,BWHA,4,8642,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1961,673,COHA,5,104,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1961,673,GOEA,6,48,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1961,673,MERL,7,13,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1961,673,NOGO,8,83,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1961,673,NOHA,9,261,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1961,673,OSPR,10,287,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1961,673,PEFA,11,20,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1961,673,RLHA,12,31,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1961,673,RSHA,13,311,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1961,673,RTHA,14,2566,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1961,673,SSHA,15,1723,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1962,650,AMKE,1,456,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
